version,processes,run,rank,assigned_files,estimated_size,local_tokens,local_time,raw_output_file
mpi1,1,1,0,3000,,44951458,28.043346,outputs\raw\mpi1_p1_run1.txt
mpi1,1,2,0,3000,,44951458,25.415179,outputs\raw\mpi1_p1_run2.txt
mpi1,1,3,0,3000,,44951458,26.854055,outputs\raw\mpi1_p1_run3.txt
mpi1,2,1,1,1500,,22589379,14.151747,outputs\raw\mpi1_p2_run1.txt
mpi1,2,1,0,1500,,22362079,14.493528,outputs\raw\mpi1_p2_run1.txt
mpi1,2,2,1,1500,,22589379,13.979584,outputs\raw\mpi1_p2_run2.txt
mpi1,2,2,0,1500,,22362079,14.235199,outputs\raw\mpi1_p2_run2.txt
mpi1,2,3,1,1500,,22589379,14.139035,outputs\raw\mpi1_p2_run3.txt
mpi1,2,3,0,1500,,22362079,14.529135,outputs\raw\mpi1_p2_run3.txt
mpi1,4,1,1,750,,11064823,9.109573,outputs\raw\mpi1_p4_run1.txt
mpi1,4,1,2,750,,11573938,9.546983,outputs\raw\mpi1_p4_run1.txt
mpi1,4,1,3,750,,11524556,9.551571,outputs\raw\mpi1_p4_run1.txt
mpi1,4,1,0,750,,10788141,9.168005,outputs\raw\mpi1_p4_run1.txt
mpi1,4,2,1,750,,11064823,10.745477,outputs\raw\mpi1_p4_run2.txt
mpi1,4,2,3,750,,11524556,10.938774,outputs\raw\mpi1_p4_run2.txt
mpi1,4,2,2,750,,11573938,11.201668,outputs\raw\mpi1_p4_run2.txt
mpi1,4,2,0,750,,10788141,11.048984,outputs\raw\mpi1_p4_run2.txt
mpi1,4,3,1,750,,11064823,10.100829,outputs\raw\mpi1_p4_run3.txt
mpi1,4,3,3,750,,11524556,10.509655,outputs\raw\mpi1_p4_run3.txt
mpi1,4,3,2,750,,11573938,10.626943,outputs\raw\mpi1_p4_run3.txt
mpi1,4,3,0,750,,10788141,10.034882,outputs\raw\mpi1_p4_run3.txt
mpi1,8,1,1,375,,5150686,7.975957,outputs\raw\mpi1_p8_run1.txt
mpi1,8,1,3,375,,5488544,8.171050,outputs\raw\mpi1_p8_run1.txt
mpi1,8,1,5,375,,5914137,8.539361,outputs\raw\mpi1_p8_run1.txt
mpi1,8,1,6,375,,5412053,8.303817,outputs\raw\mpi1_p8_run1.txt
mpi1,8,1,7,375,,6036012,8.743710,outputs\raw\mpi1_p8_run1.txt
mpi1,8,1,4,375,,5769736,8.444104,outputs\raw\mpi1_p8_run1.txt
mpi1,8,1,2,375,,6161885,8.823153,outputs\raw\mpi1_p8_run1.txt
mpi1,8,1,0,375,,5018405,7.785249,outputs\raw\mpi1_p8_run1.txt
mpi1,8,2,1,375,,5150686,7.297380,outputs\raw\mpi1_p8_run2.txt
mpi1,8,2,3,375,,5488544,7.401721,outputs\raw\mpi1_p8_run2.txt
mpi1,8,2,7,375,,6036012,7.803605,outputs\raw\mpi1_p8_run2.txt
mpi1,8,2,6,375,,5412053,7.427659,outputs\raw\mpi1_p8_run2.txt
mpi1,8,2,4,375,,5769736,7.690339,outputs\raw\mpi1_p8_run2.txt
mpi1,8,2,5,375,,5914137,8.005743,outputs\raw\mpi1_p8_run2.txt
mpi1,8,2,2,375,,6161885,8.228603,outputs\raw\mpi1_p8_run2.txt
mpi1,8,2,0,375,,5018405,7.225243,outputs\raw\mpi1_p8_run2.txt
mpi1,8,3,1,375,,5150686,8.007942,outputs\raw\mpi1_p8_run3.txt
mpi1,8,3,3,375,,5488544,8.400522,outputs\raw\mpi1_p8_run3.txt
mpi1,8,3,6,375,,5412053,8.086210,outputs\raw\mpi1_p8_run3.txt
mpi1,8,3,7,375,,6036012,8.539325,outputs\raw\mpi1_p8_run3.txt
mpi1,8,3,4,375,,5769736,8.474838,outputs\raw\mpi1_p8_run3.txt
mpi1,8,3,5,375,,5914137,8.669184,outputs\raw\mpi1_p8_run3.txt
mpi1,8,3,2,375,,6161885,8.697199,outputs\raw\mpi1_p8_run3.txt
mpi1,8,3,0,375,,5018405,8.072646,outputs\raw\mpi1_p8_run3.txt
mpi2,1,1,0,3000,275054059,44951458,24.940198,outputs\raw\mpi2_p1_run1.txt
mpi2,1,2,0,3000,275054059,44951458,24.573331,outputs\raw\mpi2_p1_run2.txt
mpi2,1,3,0,3000,275054059,44951458,23.767193,outputs\raw\mpi2_p1_run3.txt
mpi2,2,1,1,1501,137527015,22477399,12.880224,outputs\raw\mpi2_p2_run1.txt
mpi2,2,1,0,1499,137527044,22474059,12.576859,outputs\raw\mpi2_p2_run1.txt
mpi2,2,2,1,1501,137527015,22477399,12.881864,outputs\raw\mpi2_p2_run2.txt
mpi2,2,2,0,1499,137527044,22474059,12.476325,outputs\raw\mpi2_p2_run2.txt
mpi2,2,3,1,1501,137527015,22477399,13.205480,outputs\raw\mpi2_p2_run3.txt
mpi2,2,3,0,1499,137527044,22474059,13.109556,outputs\raw\mpi2_p2_run3.txt
mpi2,4,1,1,750,68763524,11237297,8.289663,outputs\raw\mpi2_p4_run1.txt
mpi2,4,1,3,749,68763535,11238299,8.306593,outputs\raw\mpi2_p4_run1.txt
mpi2,4,1,2,751,68763489,11236601,8.397432,outputs\raw\mpi2_p4_run1.txt
mpi2,4,1,0,750,68763511,11239261,8.336632,outputs\raw\mpi2_p4_run1.txt
mpi2,4,2,1,750,68763524,11237297,8.305461,outputs\raw\mpi2_p4_run2.txt
mpi2,4,2,2,751,68763489,11236601,8.320879,outputs\raw\mpi2_p4_run2.txt
mpi2,4,2,3,749,68763535,11238299,8.299177,outputs\raw\mpi2_p4_run2.txt
mpi2,4,2,0,750,68763511,11239261,8.352514,outputs\raw\mpi2_p4_run2.txt
mpi2,4,3,3,749,68763535,11238299,8.256605,outputs\raw\mpi2_p4_run3.txt
mpi2,4,3,2,751,68763489,11236601,8.277122,outputs\raw\mpi2_p4_run3.txt
mpi2,4,3,1,750,68763524,11237297,8.303825,outputs\raw\mpi2_p4_run3.txt
mpi2,4,3,0,750,68763511,11239261,8.142390,outputs\raw\mpi2_p4_run3.txt
mpi2,8,1,7,375,34381724,5618824,7.117627,outputs\raw\mpi2_p8_run1.txt
mpi2,8,1,6,375,34381794,5618127,7.066424,outputs\raw\mpi2_p8_run1.txt
mpi2,8,1,1,375,34381731,5619966,7.305400,outputs\raw\mpi2_p8_run1.txt
mpi2,8,1,3,375,34381802,5618676,7.363406,outputs\raw\mpi2_p8_run1.txt
mpi2,8,1,2,374,34381770,5617956,7.296909,outputs\raw\mpi2_p8_run1.txt
mpi2,8,1,4,375,34381787,5618493,6.987812,outputs\raw\mpi2_p8_run1.txt
mpi2,8,1,5,375,34381696,5618576,7.466833,outputs\raw\mpi2_p8_run1.txt
mpi2,8,1,0,376,34381755,5620840,7.050991,outputs\raw\mpi2_p8_run1.txt
mpi2,8,2,6,375,34381794,5618127,7.031854,outputs\raw\mpi2_p8_run2.txt
mpi2,8,2,7,375,34381724,5618824,6.951893,outputs\raw\mpi2_p8_run2.txt
mpi2,8,2,1,375,34381731,5619966,7.039752,outputs\raw\mpi2_p8_run2.txt
mpi2,8,2,2,374,34381770,5617956,7.146231,outputs\raw\mpi2_p8_run2.txt
mpi2,8,2,3,375,34381802,5618676,7.023713,outputs\raw\mpi2_p8_run2.txt
mpi2,8,2,5,375,34381696,5618576,7.107004,outputs\raw\mpi2_p8_run2.txt
mpi2,8,2,4,375,34381787,5618493,6.730788,outputs\raw\mpi2_p8_run2.txt
mpi2,8,2,0,376,34381755,5620840,7.162480,outputs\raw\mpi2_p8_run2.txt
mpi2,8,3,5,375,34381696,5618576,6.839637,outputs\raw\mpi2_p8_run3.txt
mpi2,8,3,6,375,34381794,5618127,6.625579,outputs\raw\mpi2_p8_run3.txt
mpi2,8,3,7,375,34381724,5618824,6.853978,outputs\raw\mpi2_p8_run3.txt
mpi2,8,3,4,375,34381787,5618493,6.905449,outputs\raw\mpi2_p8_run3.txt
mpi2,8,3,1,375,34381731,5619966,7.062759,outputs\raw\mpi2_p8_run3.txt
mpi2,8,3,3,375,34381802,5618676,7.178940,outputs\raw\mpi2_p8_run3.txt
mpi2,8,3,2,374,34381770,5617956,7.495567,outputs\raw\mpi2_p8_run3.txt
mpi2,8,3,0,376,34381755,5620840,6.794060,outputs\raw\mpi2_p8_run3.txt
